tweet_id,user_id,user_screen_name,full_text,created_at,retweet_count,favorite_count,retweeted,favorited,possibly_sensitive,truncated,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,is_quote_status,quoted_status_id_str,quoted_user_id_str,retweeted_status_id_str,retweeted_user_id_str,media,hashtags,lang,place,root_node,keyword,crawled_date,crawled_time
1365090472838893572,951393913,alIieson,"His statement basically says it’s his opinion &amp; we don’t have to agree with it &amp; what he said wasn’t xenophobic.

YOU LITERALLY PARALLELED AN ASIAN GROUP TO COVID 19?? At this time &amp; age if you’re still fucking racist, youre not paying attention. You’re just an overgrown asshole. https://t.co/LQPUYyTNwl",Fri Feb 26 00:05:05 +0000 2021,0,0,False,False,False,False,,,,True,1.3650624110200955e+18,68497992.0,,,,False,en,"Mariveles, Central Luzon, PH",1365090472838893572,covid,2021-02-26,08:15:12
1365092384405557252,1304036880955047936,CorazonTalosig4,"@carlos_rhodora @letmalaborbor Hayaan natin cila mam I know we have broken hearts remember pandemic protocol less talk mask n face shield let's used it manuya man cila just remember pandemic protocol po used mask face shield less talk no virus pls  focus ADn we can do dis
#ADNBoycottEBxDGxCS",Fri Feb 26 00:12:41 +0000 2021,0,0,False,False,,False,carlos_rhodora,1.3650553089602068e+18,3322161858.0,False,,,,,,True,en,"Quezon City, National Capital Region, PH",1365092384405557252,virus,2021-02-26,08:15:12
1365096345564975108,1268819019919839232,NMMCRegion10,COVID 19 Case Bulletin Daily Report as of 25 February 2021 https://t.co/rqBDYDQG3Z,Fri Feb 26 00:28:25 +0000 2021,0,0,False,False,False,False,,,,False,,,,,"photo, photo, photo",False,en,"Cagayan De Oro City, Northern Mindanao, PH",1365096345564975108,covid,2021-02-26,08:30:21
1365090472838893572,951393913,alIieson,"His statement basically says it’s his opinion &amp; we don’t have to agree with it &amp; what he said wasn’t xenophobic.

YOU LITERALLY PARALLELED AN ASIAN GROUP TO COVID 19?? At this time &amp; age if you’re still fucking racist, youre not paying attention. You’re just an overgrown asshole. https://t.co/LQPUYyTNwl",Fri Feb 26 00:05:05 +0000 2021,0,0,False,False,False,False,,,,True,1.3650624110200955e+18,68497992.0,,,,False,en,"Mariveles, Central Luzon, PH",1365090472838893572,covid,2021-02-26,08:30:21
1365093089472258049,238534815,pradoken,March na. Happy anniv covid.,Fri Feb 26 00:15:29 +0000 2021,0,0,False,False,,False,,,,False,,,,,,False,en,"Quezon City, National Capital Region, PH",1365093089472258049,covid,2021-02-26,08:30:21
1365092384405557252,1304036880955047936,CorazonTalosig4,"@carlos_rhodora @letmalaborbor Hayaan natin cila mam I know we have broken hearts remember pandemic protocol less talk mask n face shield let's used it manuya man cila just remember pandemic protocol po used mask face shield less talk no virus pls  focus ADn we can do dis
#ADNBoycottEBxDGxCS",Fri Feb 26 00:12:41 +0000 2021,0,0,False,False,,False,carlos_rhodora,1.3650553089602068e+18,3322161858.0,False,,,,,,True,en,"Quezon City, National Capital Region, PH",1365092384405557252,virus,2021-02-26,08:30:21
1365093420025413636,236223635,niccoi_reyes,"The blue sky, it boasts good health and joy. I thank God that I can see the sky, I'm thankful that I can breath thr fresh air under the trees, and I thank the good Lord for I can enjoy nature as how I should. https://t.co/j6n9WEalDL",Fri Feb 26 00:16:48 +0000 2021,0,0,False,False,False,False,,,,False,,,,,,False,en,"Antipolo City, Calabarzon, PH",1365093420025413636,health,2021-02-26,08:30:21
1365096345564975108,1268819019919839232,NMMCRegion10,COVID 19 Case Bulletin Daily Report as of 25 February 2021 https://t.co/rqBDYDQG3Z,Fri Feb 26 00:28:25 +0000 2021,0,0,False,False,False,False,,,,False,,,,,"photo, photo, photo",False,en,"Cagayan De Oro City, Northern Mindanao, PH",1365096345564975108,covid,2021-02-26,08:45:14
1365090472838893572,951393913,alIieson,"His statement basically says it’s his opinion &amp; we don’t have to agree with it &amp; what he said wasn’t xenophobic.

YOU LITERALLY PARALLELED AN ASIAN GROUP TO COVID 19?? At this time &amp; age if you’re still fucking racist, youre not paying attention. You’re just an overgrown asshole. https://t.co/LQPUYyTNwl",Fri Feb 26 00:05:05 +0000 2021,0,0,False,False,False,False,,,,True,1.3650624110200955e+18,68497992.0,,,,False,en,"Mariveles, Central Luzon, PH",1365090472838893572,covid,2021-02-26,08:45:14
1365093089472258049,238534815,pradoken,March na. Happy anniv covid.,Fri Feb 26 00:15:29 +0000 2021,0,0,False,False,,False,,,,False,,,,,,False,en,"Quezon City, National Capital Region, PH",1365093089472258049,covid,2021-02-26,08:45:14
1365092384405557252,1304036880955047936,CorazonTalosig4,"@carlos_rhodora @letmalaborbor Hayaan natin cila mam I know we have broken hearts remember pandemic protocol less talk mask n face shield let's used it manuya man cila just remember pandemic protocol po used mask face shield less talk no virus pls  focus ADn we can do dis
#ADNBoycottEBxDGxCS",Fri Feb 26 00:12:41 +0000 2021,0,0,False,False,,False,carlos_rhodora,1.3650553089602068e+18,3322161858.0,False,,,,,,True,en,"Quezon City, National Capital Region, PH",1365092384405557252,virus,2021-02-26,08:45:14
1365093420025413636,236223635,niccoi_reyes,"The blue sky, it boasts good health and joy. I thank God that I can see the sky, I'm thankful that I can breath thr fresh air under the trees, and I thank the good Lord for I can enjoy nature as how I should. https://t.co/j6n9WEalDL",Fri Feb 26 00:16:48 +0000 2021,0,0,False,False,False,False,,,,False,,,,,,False,en,"Antipolo City, Calabarzon, PH",1365093420025413636,health,2021-02-26,08:45:14
1365096913280790529,747352200100220928,SerEySpaghetey,araw araw na lang yang pausok nyo! mga lintik kayo! kada umaga na lang akong may sipon at di makahinga sa kakapausok nyo! taena nyo!,Fri Feb 26 00:30:41 +0000 2021,0,0,False,False,,False,,,,False,,,,,,False,tl,"Antipolo City, Calabarzon, PH",1365096913280790529,sipon,2021-02-26,08:45:14
1365096345564975108,1268819019919839232,NMMCRegion10,COVID 19 Case Bulletin Daily Report as of 25 February 2021 https://t.co/rqBDYDQG3Z,Fri Feb 26 00:28:25 +0000 2021,0,0,False,False,False,False,,,,False,,,,,"photo, photo, photo",False,en,"Cagayan De Oro City, Northern Mindanao, PH",1365096345564975108,covid,2021-02-26,09:00:22
1365090472838893572,951393913,alIieson,"His statement basically says it’s his opinion &amp; we don’t have to agree with it &amp; what he said wasn’t xenophobic.

YOU LITERALLY PARALLELED AN ASIAN GROUP TO COVID 19?? At this time &amp; age if you’re still fucking racist, youre not paying attention. You’re just an overgrown asshole. https://t.co/LQPUYyTNwl",Fri Feb 26 00:05:05 +0000 2021,0,0,False,False,False,False,,,,True,1.3650624110200955e+18,68497992.0,,,,False,en,"Mariveles, Central Luzon, PH",1365090472838893572,covid,2021-02-26,09:00:22
1365093089472258049,238534815,pradoken,March na. Happy anniv covid.,Fri Feb 26 00:15:29 +0000 2021,0,0,False,False,,False,,,,False,,,,,,False,en,"Quezon City, National Capital Region, PH",1365093089472258049,covid,2021-02-26,09:00:22
1365092384405557252,1304036880955047936,CorazonTalosig4,"@carlos_rhodora @letmalaborbor Hayaan natin cila mam I know we have broken hearts remember pandemic protocol less talk mask n face shield let's used it manuya man cila just remember pandemic protocol po used mask face shield less talk no virus pls  focus ADn we can do dis
#ADNBoycottEBxDGxCS",Fri Feb 26 00:12:41 +0000 2021,0,0,False,False,,False,carlos_rhodora,1.3650553089602068e+18,3322161858.0,False,,,,,,True,en,"Quezon City, National Capital Region, PH",1365092384405557252,virus,2021-02-26,09:00:22
1365093420025413636,236223635,niccoi_reyes,"The blue sky, it boasts good health and joy. I thank God that I can see the sky, I'm thankful that I can breath thr fresh air under the trees, and I thank the good Lord for I can enjoy nature as how I should. https://t.co/j6n9WEalDL",Fri Feb 26 00:16:48 +0000 2021,0,0,False,False,False,False,,,,False,,,,,,False,en,"Antipolo City, Calabarzon, PH",1365093420025413636,health,2021-02-26,09:00:22
1365096913280790529,747352200100220928,SerEySpaghetey,araw araw na lang yang pausok nyo! mga lintik kayo! kada umaga na lang akong may sipon at di makahinga sa kakapausok nyo! taena nyo!,Fri Feb 26 00:30:41 +0000 2021,0,0,False,False,,False,,,,False,,,,,,False,tl,"Antipolo City, Calabarzon, PH",1365096913280790529,sipon,2021-02-26,09:00:22
1365096345564975108,1268819019919839232,NMMCRegion10,COVID 19 Case Bulletin Daily Report as of 25 February 2021 https://t.co/rqBDYDQG3Z,Fri Feb 26 00:28:25 +0000 2021,0,0,False,False,False,False,,,,False,,,,,"photo, photo, photo",False,en,"Cagayan De Oro City, Northern Mindanao, PH",1365096345564975108,covid,2021-02-26,09:15:14
1365090472838893572,951393913,alIieson,"His statement basically says it’s his opinion &amp; we don’t have to agree with it &amp; what he said wasn’t xenophobic.

YOU LITERALLY PARALLELED AN ASIAN GROUP TO COVID 19?? At this time &amp; age if you’re still fucking racist, youre not paying attention. You’re just an overgrown asshole. https://t.co/LQPUYyTNwl",Fri Feb 26 00:05:05 +0000 2021,0,0,False,False,False,False,,,,True,1.3650624110200955e+18,68497992.0,,,,False,en,"Mariveles, Central Luzon, PH",1365090472838893572,covid,2021-02-26,09:15:14
1365092384405557252,1304036880955047936,CorazonTalosig4,"@carlos_rhodora @letmalaborbor Hayaan natin cila mam I know we have broken hearts remember pandemic protocol less talk mask n face shield let's used it manuya man cila just remember pandemic protocol po used mask face shield less talk no virus pls  focus ADn we can do dis
#ADNBoycottEBxDGxCS",Fri Feb 26 00:12:41 +0000 2021,0,0,False,False,,False,carlos_rhodora,1.3650553089602068e+18,3322161858.0,False,,,,,,True,en,"Quezon City, National Capital Region, PH",1365092384405557252,virus,2021-02-26,09:15:14
